
"81st Precinct",,
"   April ",,
"","",""
"Backing Unsafely",1,4
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",51,230
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",165,606
"Driving Too Slow",0,0
Equipment,97,512
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",38,137
"Failure to Signal",20,68
"Following Too Closely",0,0
"Improper Passing",1,7
"Improper Taxi Pickup",0,0
"Improper Turn",17,28
"Improper/Missing Plates",0,1
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,1
"Obstructed Plate",2,19
"One Way Street",1,8
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",58,161
"School Bus",0,1
"Scooter In NYC",0,0
"Seat Belt",78,394
Speeding,34,153
Spillback,1,2
"TBTA Rule",0,0
Tints,11,108
"TLC (Other)",0,0
"Truck Route",7,22
Uninspected,0,12
Uninsured,28,106
"Unlicensed Operator",52,223
Unregistered,7,42
"Unsafe Lane Change",0,1
"Other Movers",108,443
"081 TOTAL Movers ",777,3290
