"Moving Violations",,
Bronx,,
"November ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",32,197
"Bike Lane",2,24
"Bus Lane",9,281
"Cell Phone",487,7873
"Commercial Veh on Pkwy",5,24
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",2378,27642
"Driving Too Slow",0,4
Equipment,376,5392
"Equipment (Other)",1,5
"Excessive Noise",0,1
"Fail to Keep Right",3,27
"Fail to yield Right of Way to Pedestrian",518,6502
"Failure to Signal",183,2256
"Following Too Closely",7,52
"Improper Passing",17,234
"Improper Taxi Pickup",2,16
"Improper Turn",1177,13401
"Improper/Missing Plates",16,276
"Lamps and Other Equipment on Bicycle",0,9
"Motorcycle (Other)",1,64
"Not Giving R of W to Veh.",9,222
"Obstructed Plate",115,1251
"One Way Street",41,398
Overheight,0,3
Overlength,0,3
Overweight,0,1
Overwidth,0,0
"Pavement Markings",4,52
"Red Light",703,7754
"School Bus",35,445
"Scooter In NYC",0,4
"Seat Belt",510,8645
Speeding,1165,13501
Spillback,7,243
"TBTA Rule",0,0
Tints,628,8396
"TLC (Other)",0,0
"Truck Route",18,197
Uninspected,20,367
Uninsured,248,2905
"Unlicensed Operator",694,8370
Unregistered,173,2177
"Unsafe Lane Change",49,757
"Other Movers",712,8959
"PBBXTOTAL Movers ",10345,128930
"* All figures are preliminary and subject to change.",,
