"Moving Violations",,
"Queens South",,
"November ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",7,67
"Bike Lane",1,4
"Bus Lane",35,156
"Cell Phone",275,3993
"Commercial Veh on Pkwy",3,29
"Cruising For Passengers",1,5
"Disobey Traffic Control Device",1532,16238
"Driving Too Slow",0,3
Equipment,219,2603
"Equipment (Other)",0,7
"Excessive Noise",0,0
"Fail to Keep Right",0,10
"Fail to yield Right of Way to Pedestrian",291,3133
"Failure to Signal",223,2417
"Following Too Closely",1,16
"Improper Passing",17,236
"Improper Taxi Pickup",4,57
"Improper Turn",499,6357
"Improper/Missing Plates",1,95
"Lamps and Other Equipment on Bicycle",0,3
"Motorcycle (Other)",0,50
"Not Giving R of W to Veh.",10,86
"Obstructed Plate",55,539
"One Way Street",23,263
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
"Pavement Markings",4,31
"Red Light",461,4866
"School Bus",19,91
"Scooter In NYC",0,0
"Seat Belt",238,4823
Speeding,676,7077
Spillback,20,54
"TBTA Rule",0,0
Tints,170,2704
"TLC (Other)",0,0
"Truck Route",12,246
Uninspected,22,422
Uninsured,178,2005
"Unlicensed Operator",457,5656
Unregistered,85,1023
"Unsafe Lane Change",14,132
"Other Movers",599,6986
"PBQSTOTAL Movers ",6152,72484
"* All figures are preliminary and subject to change.",,
