
"Midtown North Precinct",,
"December ",,
"","",""
"Backing Unsafely",0,13
"Bike Lane",13,79
"Bus Lane",1,102
"Cell Phone",27,650
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",223,3548
"Driving Too Slow",0,0
Equipment,36,612
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",31,460
"Failure to Signal",15,161
"Following Too Closely",0,0
"Improper Passing",0,12
"Improper Taxi Pickup",2,13
"Improper Turn",120,1682
"Improper/Missing Plates",15,73
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,3
"Not Giving R of W to Veh.",0,6
"Obstructed Plate",2,47
"One Way Street",11,180
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,4
"Red Light",55,1008
"School Bus",0,7
"Scooter In NYC",0,0
"Seat Belt",63,1005
Speeding,15,264
Spillback,9,48
"TBTA Rule",0,0
Tints,20,441
"TLC (Other)",0,0
"Truck Route",2,8
Uninspected,0,23
Uninsured,12,263
"Unlicensed Operator",35,517
Unregistered,5,106
"Unsafe Lane Change",3,50
"Other Movers",77,1488
"018TOTAL Movers ",792,12875

