
"32nd Precinct",,
"December ",,
"","",""
"Backing Unsafely",0,11
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",17,209
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",229,3456
"Driving Too Slow",0,0
Equipment,5,183
"Equipment (Other)",0,2
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",75,807
"Failure to Signal",5,75
"Following Too Closely",1,3
"Improper Passing",1,9
"Improper Taxi Pickup",0,3
"Improper Turn",77,1062
"Improper/Missing Plates",0,15
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,9
"Obstructed Plate",4,111
"One Way Street",1,13
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",51,740
"School Bus",0,20
"Scooter In NYC",0,0
"Seat Belt",6,273
Speeding,53,738
Spillback,0,27
"TBTA Rule",0,0
Tints,92,974
"TLC (Other)",0,0
"Truck Route",0,14
Uninspected,1,58
Uninsured,6,127
"Unlicensed Operator",30,548
Unregistered,2,131
"Unsafe Lane Change",1,11
"Other Movers",14,297
"032TOTAL Movers ",671,9929

