
"33rd Precinct",,
"December ",,
"","",""
"Backing Unsafely",2,37
"Bike Lane",1,3
"Bus Lane",0,7
"Cell Phone",31,572
"Commercial Veh on Pkwy",0,13
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",104,1608
"Driving Too Slow",0,0
Equipment,17,377
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,2
"Fail to yield Right of Way to Pedestrian",47,800
"Failure to Signal",12,245
"Following Too Closely",0,5
"Improper Passing",4,34
"Improper Taxi Pickup",0,3
"Improper Turn",97,1301
"Improper/Missing Plates",0,22
"Lamps and Other Equipment on Bicycle",0,5
"Motorcycle (Other)",0,5
"Not Giving R of W to Veh.",0,14
"Obstructed Plate",5,160
"One Way Street",7,60
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",83,924
"School Bus",3,20
"Scooter In NYC",0,0
"Seat Belt",41,885
Speeding,72,1141
Spillback,0,27
"TBTA Rule",0,0
Tints,65,547
"TLC (Other)",0,0
"Truck Route",0,27
Uninspected,1,41
Uninsured,5,65
"Unlicensed Operator",37,400
Unregistered,5,68
"Unsafe Lane Change",1,12
"Other Movers",24,700
"033TOTAL Movers ",664,10132

