34th Precinct,,
December ,,
"","",""
Backing Unsafely,0,3
Bike Lane,0,1
Bus Lane,8,24
Cell Phone,17,453
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,170,3066
Driving Too Slow,0,0
Equipment,5,388
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,1,4
Fail to yield Right of Way to Pedestrian,42,638
Failure to Signal,0,22
Following Too Closely,0,5
Improper Passing,0,2
Improper Taxi Pickup,0,1
Improper Turn,65,687
Improper/Missing Plates,0,8
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,9
Not Giving R of W to Veh.,0,11
Obstructed Plate,1,53
One Way Street,0,16
Overheight,0,1
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,40,565
School Bus,0,25
Scooter In NYC,0,0
Seat Belt,14,406
Speeding,45,572
Spillback,0,1
TBTA Rule,0,0
Tints,22,245
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,19
Uninsured,1,79
Unlicensed Operator,27,346
Unregistered,2,45
Unsafe Lane Change,1,5
Other Movers,13,341
034TOTAL Movers ,474,8043
