
"66th Precinct",,
"December ",,
"","",""
"Backing Unsafely",0,6
"Bike Lane",0,0
"Bus Lane",0,1
"Cell Phone",63,983
"Commercial Veh on Pkwy",1,11
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",75,1732
"Driving Too Slow",0,0
Equipment,9,182
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,2
"Fail to yield Right of Way to Pedestrian",74,705
"Failure to Signal",7,90
"Following Too Closely",0,2
"Improper Passing",1,6
"Improper Taxi Pickup",0,0
"Improper Turn",1,64
"Improper/Missing Plates",0,3
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,24
"Not Giving R of W to Veh.",2,8
"Obstructed Plate",7,180
"One Way Street",1,21
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",28,337
"School Bus",1,27
"Scooter In NYC",0,0
"Seat Belt",67,1474
Speeding,27,746
Spillback,1,27
"TBTA Rule",0,0
Tints,6,124
"TLC (Other)",0,0
"Truck Route",1,8
Uninspected,5,65
Uninsured,5,94
"Unlicensed Operator",17,262
Unregistered,8,93
"Unsafe Lane Change",0,2
"Other Movers",32,818
"066TOTAL Movers ",439,8097

