
"121st Precinct",,
"December ",,
"","",""
"Backing Unsafely",0,12
"Bike Lane",0,0
"Bus Lane",7,57
"Cell Phone",25,440
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",229,3278
"Driving Too Slow",0,0
Equipment,40,554
"Equipment (Other)",1,2
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",20,356
"Failure to Signal",45,921
"Following Too Closely",1,9
"Improper Passing",0,13
"Improper Taxi Pickup",0,0
"Improper Turn",27,289
"Improper/Missing Plates",1,25
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,3
"Not Giving R of W to Veh.",2,31
"Obstructed Plate",4,113
"One Way Street",1,12
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,2
"Red Light",63,967
"School Bus",4,29
"Scooter In NYC",0,0
"Seat Belt",111,1737
Speeding,114,1894
Spillback,0,1
"TBTA Rule",0,0
Tints,53,1005
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,1,36
Uninsured,19,477
"Unlicensed Operator",87,1259
Unregistered,8,162
"Unsafe Lane Change",9,166
"Other Movers",66,1084
"121TOTAL Movers ",938,14934

