
Citywide,,
"December ",,
"","",""
"Backing Unsafely",73,998
"Bike Lane",44,557
"Bus Lane",556,8037
"Cell Phone",2502,49161
"Commercial Veh on Pkwy",276,3376
"Cruising For Passengers",0,13
"Disobey Traffic Control Device",15049,211887
"Driving Too Slow",2,41
Equipment,1737,36474
"Equipment (Other)",6,76
"Excessive Noise",0,4
"Fail to Keep Right",11,128
"Fail to yield Right of Way to Pedestrian",4155,54477
"Failure to Signal",1417,21585
"Following Too Closely",70,991
"Improper Passing",137,2476
"Improper Taxi Pickup",80,3419
"Improper Turn",5417,89914
"Improper/Missing Plates",80,1359
"Lamps and Other Equipment on Bicycle",1,94
"Motorcycle (Other)",21,1937
"Not Giving R of W to Veh.",87,1537
"Obstructed Plate",565,8769
"One Way Street",344,5958
Overheight,6,43
Overlength,5,180
Overweight,7,844
Overwidth,0,94
"Pavement Markings",17,297
"Red Light",5183,72406
"School Bus",109,2296
"Scooter In NYC",0,15
"Seat Belt",3538,79949
Speeding,9461,152368
Spillback,466,8045
"TBTA Rule",2,3
Tints,2995,62343
"TLC (Other)",7,9
"Truck Route",125,2513
Uninspected,174,4140
Uninsured,929,14885
"Unlicensed Operator",3567,52907
Unregistered,742,11121
"Unsafe Lane Change",299,5122
"Other Movers",5407,93528
"CitywideTOTAL Movers ",65669,1066376

