Patrol Bureau,,
December ,,
"","",""
Backing Unsafely,67,848
Bike Lane,38,501
Bus Lane,378,2185
Cell Phone,2329,44905
Commercial Veh on Pkwy,17,288
Cruising For Passengers,0,12
Disobey Traffic Control Device,12935,175745
Driving Too Slow,2,25
Equipment,1390,24527
Equipment (Other),5,47
Excessive Noise,0,3
Fail to Keep Right,9,120
Fail to yield Right of Way to Pedestrian,4118,52692
Failure to Signal,1087,16931
Following Too Closely,19,269
Improper Passing,108,1977
Improper Taxi Pickup,21,440
Improper Turn,4928,76205
Improper/Missing Plates,68,1071
Lamps and Other Equipment on Bicycle,1,87
Motorcycle (Other),18,1019
Not Giving R of W to Veh.,74,1236
Obstructed Plate,476,6940
One Way Street,235,4549
Overheight,0,4
Overlength,2,37
Overweight,0,2
Overwidth,0,0
Pavement Markings,3,188
Red Light,5018,69737
School Bus,107,1826
Scooter In NYC,0,15
Seat Belt,3319,67687
Speeding,4570,68678
Spillback,68,928
TBTA Rule,2,2
Tints,2496,39244
TLC (Other),7,8
Truck Route,82,1883
Uninspected,123,2773
Uninsured,846,12688
Unlicensed Operator,3091,45039
Unregistered,575,8694
Unsafe Lane Change,160,2969
Other Movers,4406,74983
PATROLTOTAL Movers ,53198,810007
