Brooklyn North,,
December ,,
"","",""
Backing Unsafely,7,94
Bike Lane,9,114
Bus Lane,25,145
Cell Phone,191,4774
Commercial Veh on Pkwy,8,53
Cruising For Passengers,0,0
Disobey Traffic Control Device,1848,26938
Driving Too Slow,0,6
Equipment,235,3779
Equipment (Other),0,3
Excessive Noise,0,1
Fail to Keep Right,1,10
Fail to yield Right of Way to Pedestrian,346,4565
Failure to Signal,185,2376
Following Too Closely,3,24
Improper Passing,6,267
Improper Taxi Pickup,1,7
Improper Turn,499,6311
Improper/Missing Plates,4,99
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),1,135
Not Giving R of W to Veh.,10,143
Obstructed Plate,45,627
One Way Street,42,1171
Overheight,0,0
Overlength,0,19
Overweight,0,1
Overwidth,0,0
Pavement Markings,0,37
Red Light,924,12364
School Bus,12,120
Scooter In NYC,0,0
Seat Belt,372,8949
Speeding,518,6790
Spillback,6,68
TBTA Rule,1,1
Tints,291,5434
TLC (Other),0,0
Truck Route,17,491
Uninspected,13,317
Uninsured,108,1474
Unlicensed Operator,432,6294
Unregistered,89,1404
Unsafe Lane Change,6,89
Other Movers,593,11249
PBBNTOTAL Movers ,6848,106745
