"Moving Violations",,
"1st Precinct",,
" January ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,0
"Bike Lane",0,0
"Bus Lane",8,8
"Cell Phone",63,63
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",94,94
"Driving Too Slow",0,0
Equipment,5,5
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",59,59
"Failure to Signal",3,3
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",5,5
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",4,4
"One Way Street",14,14
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",83,83
"School Bus",1,1
"Scooter In NYC",0,0
"Seat Belt",49,49
Speeding,25,25
Spillback,0,0
"TBTA Rule",0,0
Tints,13,13
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,0
Uninsured,1,1
"Unlicensed Operator",5,5
Unregistered,0,0
"Unsafe Lane Change",2,2
"Other Movers",152,152
"001TOTAL Movers ",586,586
"* All figures are preliminary and subject to change.",,
