
"43rd Precinct",,
"   April ",,
"","",""
"Backing Unsafely",1,3
"Bike Lane",0,0
"Bus Lane",1,1
"Cell Phone",62,251
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",242,1041
"Driving Too Slow",0,0
Equipment,62,188
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",62,281
"Failure to Signal",15,108
"Following Too Closely",0,1
"Improper Passing",2,10
"Improper Taxi Pickup",1,1
"Improper Turn",129,457
"Improper/Missing Plates",6,9
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",1,1
"Not Giving R of W to Veh.",1,5
"Obstructed Plate",16,57
"One Way Street",3,12
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",46,181
"School Bus",16,47
"Scooter In NYC",0,0
"Seat Belt",66,248
Speeding,74,301
Spillback,2,13
"TBTA Rule",0,0
Tints,62,191
"TLC (Other)",0,0
"Truck Route",0,1
Uninspected,0,6
Uninsured,44,125
"Unlicensed Operator",84,302
Unregistered,29,110
"Unsafe Lane Change",60,190
"Other Movers",75,287
"043 TOTAL Movers ",1162,4428

