"Moving Violations",,
"43rd Precinct",,
" January ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,1
"Bike Lane",1,1
"Bus Lane",3,3
"Cell Phone",84,84
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",319,319
"Driving Too Slow",0,0
Equipment,43,43
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",82,82
"Failure to Signal",12,12
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",2,2
"Improper Taxi Pickup",0,0
"Improper Turn",136,136
"Improper/Missing Plates",5,5
"Lamps and Other Equipment on Bicycle",1,1
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",5,5
"Obstructed Plate",40,40
"One Way Street",2,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",1,1
"Red Light",66,66
"School Bus",11,11
"Scooter In NYC",2,2
"Seat Belt",57,57
Speeding,87,87
Spillback,0,0
"TBTA Rule",0,0
Tints,34,34
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,4,4
Uninsured,34,34
"Unlicensed Operator",99,99
Unregistered,57,57
"Unsafe Lane Change",33,33
"Other Movers",75,75
"043TOTAL Movers ",1296,1296
"* All figures are preliminary and subject to change.",,
