"Moving Violations",,
"49th Precinct",,
" January ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,0
"Bike Lane",0,0
"Bus Lane",0,0
"Cell Phone",60,60
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",246,246
"Driving Too Slow",0,0
Equipment,4,4
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",57,57
"Failure to Signal",23,23
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",0,0
"Improper Taxi Pickup",0,0
"Improper Turn",74,74
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",2,2
"Obstructed Plate",20,20
"One Way Street",1,1
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",43,43
"School Bus",3,3
"Scooter In NYC",0,0
"Seat Belt",126,126
Speeding,93,93
Spillback,1,1
"TBTA Rule",0,0
Tints,29,29
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,3,3
Uninsured,4,4
"Unlicensed Operator",62,62
Unregistered,17,17
"Unsafe Lane Change",1,1
"Other Movers",61,61
"049TOTAL Movers ",930,930
"* All figures are preliminary and subject to change.",,
