121st Precinct,,
 January ,,
"","",""
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,1,1
Cell Phone,26,26
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,193,193
Driving Too Slow,1,1
Equipment,23,23
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,33,33
Failure to Signal,42,42
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,2,2
Improper Passing,0,0
Improper Taxi Pickup,0,0
Improper Turn,18,18
Improper/Missing Plates,1,1
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),2,2
Not Giving R of W to Veh.,5,5
Obstructed Plate,3,3
One Way Street,1,1
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,111,111
School Bus,2,2
Scooter In NYC,0,0
Seat Belt,116,116
Speeding,183,183
Spillback,1,1
TBTA Rule,0,0
Tints,112,112
TLC (Other),0,0
Truck Route,0,0
Uninspected,2,2
Uninsured,24,24
Unlicensed Operator,89,89
Unregistered,4,4
Unsafe Lane Change,4,4
Other Movers,65,65
121TOTAL Movers ,1064,1064
