Bronx,,
 January ,,
"","",""
Backing Unsafely,15,15
Bike Lane,7,7
Bus Lane,99,99
Cell Phone,607,607
Commercial Veh on Pkwy,3,3
Cruising For Passengers,0,0
Disobey Traffic Control Device,3280,3280
Driving Too Slow,0,0
Equipment,510,510
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,4,4
Fail to yield Right of Way to Pedestrian,920,920
Failure to Signal,241,241
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,5,5
Improper Passing,18,18
Improper Taxi Pickup,0,0
Improper Turn,1301,1301
Improper/Missing Plates,19,19
Lamps and Other Equipment on Bicycle,1,1
Motorcycle (Other),1,1
Not Giving R of W to Veh.,22,22
Obstructed Plate,180,180
One Way Street,35,35
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,4,4
Red Light,819,819
School Bus,50,50
Scooter In NYC,2,2
Seat Belt,617,617
Speeding,1785,1785
Spillback,10,10
TBTA Rule,0,0
Tints,865,865
TLC (Other),0,0
Truck Route,26,26
Uninspected,31,31
Uninsured,265,265
Unlicensed Operator,921,921
Unregistered,245,245
Unsafe Lane Change,65,65
Other Movers,778,778
PBBXTOTAL Movers ,13751,13751
