"Moving Violations",,
"Manhattan South",,
" January ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",9,9
"Bike Lane",43,43
"Bus Lane",36,36
"Cell Phone",327,327
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",1840,1840
"Driving Too Slow",0,0
Equipment,99,99
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",862,862
"Failure to Signal",185,185
"Failure to yield Right of Way to Vehicle",2,2
"Following Too Closely",1,1
"Improper Passing",6,6
"Improper Taxi Pickup",16,16
"Improper Turn",1421,1421
"Improper/Missing Plates",18,18
"Lamps and Other Equipment on Bicycle",1,1
"Motorcycle (Other)",4,4
"Not Giving R of W to Veh.",4,4
"Obstructed Plate",88,88
"One Way Street",97,97
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",1,1
"Red Light",891,891
"School Bus",4,4
"Scooter In NYC",0,0
"Seat Belt",657,657
Speeding,289,289
Spillback,9,9
"TBTA Rule",0,0
Tints,304,304
"TLC (Other)",0,0
"Truck Route",14,14
Uninspected,2,2
Uninsured,41,41
"Unlicensed Operator",213,213
Unregistered,23,23
"Unsafe Lane Change",50,50
"Other Movers",1076,1076
"PBMSTOTAL Movers ",8633,8633
"* All figures are preliminary and subject to change.",,
