"Moving Violations",,
"Staten Island",,
" January ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",3,3
"Bike Lane",0,0
"Bus Lane",6,6
"Cell Phone",152,152
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",881,881
"Driving Too Slow",1,1
Equipment,82,82
"Equipment (Other)",1,1
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",99,99
"Failure to Signal",175,175
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",4,4
"Improper Passing",6,6
"Improper Taxi Pickup",0,0
"Improper Turn",114,114
"Improper/Missing Plates",3,3
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",2,2
"Not Giving R of W to Veh.",13,13
"Obstructed Plate",63,63
"One Way Street",7,7
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",303,303
"School Bus",26,26
"Scooter In NYC",0,0
"Seat Belt",351,351
Speeding,741,741
Spillback,1,1
"TBTA Rule",0,0
Tints,295,295
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,20,20
Uninsured,78,78
"Unlicensed Operator",329,329
Unregistered,52,52
"Unsafe Lane Change",15,15
"Other Movers",475,475
"PBSITOTAL Movers ",4298,4298
"* All figures are preliminary and subject to change.",,
