Central Park Precinct,,
February ,,
"","",""
Backing Unsafely,0,1
Bike Lane,0,0
Bus Lane,27,51
Cell Phone,2,2
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,6,14
Driving Too Slow,0,0
Equipment,15,20
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,0,22
Failure to Signal,0,0
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,0,0
Improper Taxi Pickup,0,0
Improper Turn,37,84
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,0
Obstructed Plate,0,0
One Way Street,0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,15,34
School Bus,0,0
Scooter In NYC,0,0
Seat Belt,2,3
Speeding,27,45
Spillback,0,0
TBTA Rule,0,0
Tints,19,29
TLC (Other),0,0
Truck Route,0,0
Uninspected,1,3
Uninsured,3,6
Unlicensed Operator,7,13
Unregistered,2,3
Unsafe Lane Change,0,2
Other Movers,13,14
022TOTAL Movers ,176,346
