"Moving Violations",,
"88th Precinct",,
"February ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,1
"Bike Lane",1,1
"Bus Lane",8,14
"Cell Phone",24,65
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",201,463
"Driving Too Slow",0,0
Equipment,7,19
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",31,53
"Failure to Signal",4,10
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",2,2
"Improper Taxi Pickup",0,0
"Improper Turn",51,103
"Improper/Missing Plates",0,2
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",4,6
"Not Giving R of W to Veh.",0,0
"Obstructed Plate",7,18
"One Way Street",2,5
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",62,140
"School Bus",0,0
"Scooter In NYC",0,0
"Seat Belt",100,196
Speeding,24,61
Spillback,1,1
"TBTA Rule",0,0
Tints,30,77
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,0
Uninsured,6,14
"Unlicensed Operator",24,73
Unregistered,4,9
"Unsafe Lane Change",1,1
"Other Movers",93,204
"088TOTAL Movers ",687,1538
"* All figures are preliminary and subject to change.",,
