"Moving Violations",,
"123rd Precinct",,
"February ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",2,2
"Bike Lane",0,0
"Bus Lane",11,11
"Cell Phone",48,90
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",137,294
"Driving Too Slow",0,0
Equipment,11,19
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",12,22
"Failure to Signal",30,58
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",1,3
"Improper Passing",0,1
"Improper Taxi Pickup",0,0
"Improper Turn",6,13
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",2,2
"Obstructed Plate",4,13
"One Way Street",0,0
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",70,119
"School Bus",1,3
"Scooter In NYC",0,0
"Seat Belt",99,161
Speeding,115,324
Spillback,1,1
"TBTA Rule",0,0
Tints,55,88
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,6,18
Uninsured,23,34
"Unlicensed Operator",60,106
Unregistered,14,29
"Unsafe Lane Change",1,3
"Other Movers",144,288
"123TOTAL Movers ",853,1702
"* All figures are preliminary and subject to change.",,
