"Moving Violations",,
Citywide,,
"February ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",74,149
"Bike Lane",59,134
"Bus Lane",665,1273
"Cell Phone",3279,6909
"Commercial Veh on Pkwy",240,545
"Cruising For Passengers",15,17
"Disobey Traffic Control Device",19263,41225
"Driving Too Slow",7,11
Equipment,2335,4822
"Equipment (Other)",7,12
"Excessive Noise",0,0
"Fail to Keep Right",4,14
"Fail to yield Right of Way to Pedestrian",4850,10502
"Failure to Signal",1696,3587
"Failure to yield Right of Way to Vehicle",4,6
"Following Too Closely",79,182
"Improper Passing",166,324
"Improper Taxi Pickup",229,431
"Improper Turn",7064,15105
"Improper/Missing Plates",60,154
"Lamps and Other Equipment on Bicycle",4,9
"Motorcycle (Other)",37,67
"Not Giving R of W to Veh.",156,289
"Obstructed Plate",732,1551
"One Way Street",505,911
Overheight,8,21
Overlength,3,12
Overweight,10,20
Overwidth,0,0
"Pavement Markings",31,72
"Red Light",6144,12756
"School Bus",178,337
"Scooter In NYC",0,2
"Seat Belt",5303,10594
Speeding,12709,27698
Spillback,1020,1848
"TBTA Rule",0,0
Tints,4877,10092
"TLC (Other)",6,13
"Truck Route",124,273
Uninspected,227,480
Uninsured,1037,2196
"Unlicensed Operator",4303,8950
Unregistered,827,1783
"Unsafe Lane Change",409,834
"Other Movers",7664,15497
"CitywideTOTAL Movers ",86410,181707
"* All figures are preliminary and subject to change.",,
