23rd Precinct,,
   March ,,
"","",""
Backing Unsafely,1,2
Bike Lane,0,0
Bus Lane,8,27
Cell Phone,58,226
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,115,485
Driving Too Slow,0,0
Equipment,21,47
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,100,259
Failure to Signal,1,3
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,1,1
Improper Taxi Pickup,0,0
Improper Turn,114,290
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),1,1
Not Giving R of W to Veh.,1,2
Obstructed Plate,3,6
One Way Street,5,10
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,114,291
School Bus,1,1
Scooter In NYC,0,0
Seat Belt,32,131
Speeding,4,120
Spillback,0,0
TBTA Rule,0,0
Tints,33,76
TLC (Other),0,0
Truck Route,0,0
Uninspected,1,2
Uninsured,4,5
Unlicensed Operator,20,38
Unregistered,1,5
Unsafe Lane Change,0,2
Other Movers,49,133
023TOTAL Movers ,688,2163
