41st Precinct,,
Backing Unsafely,1,5
Bike Lane,0,4
Bus Lane,20,55
Cell Phone,27,82
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,327,1178
Driving Too Slow,0,0
Equipment,35,103
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,92,221
Failure to Signal,15,22
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,1,1
Improper Passing,1,2
Improper Taxi Pickup,0,0
Improper Turn,101,346
Improper/Missing Plates,3,6
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,2
Obstructed Plate,8,15
One Way Street,2,2
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,65,228
School Bus,3,12
Scooter In NYC,0,0
Seat Belt,48,150
Speeding,194,498
Spillback,1,2
TBTA Rule,0,0
Tints,4,32
TLC (Other),0,0
Truck Route,5,46
Uninspected,2,2
Uninsured,20,65
Unlicensed Operator,62,195
Unregistered,13,43
Unsafe Lane Change,3,7
Other Movers,72,160
TOTAL Movers,1125,3486
