122nd Precinct,,
   March ,,
"","",""
Backing Unsafely,4,6
Bike Lane,0,0
Bus Lane,17,29
Cell Phone,33,111
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,281,935
Driving Too Slow,0,0
Equipment,34,87
Equipment (Other),0,2
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,28,86
Failure to Signal,56,191
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,1,2
Improper Passing,0,1
Improper Taxi Pickup,0,0
Improper Turn,56,205
Improper/Missing Plates,0,3
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,4,8
Obstructed Plate,39,116
One Way Street,4,9
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,1,1
Red Light,44,147
School Bus,1,12
Scooter In NYC,0,0
Seat Belt,90,303
Speeding,117,427
Spillback,0,2
TBTA Rule,0,0
Tints,25,83
TLC (Other),0,0
Truck Route,0,0
Uninspected,5,9
Uninsured,29,63
Unlicensed Operator,69,223
Unregistered,21,61
Unsafe Lane Change,10,27
Other Movers,122,392
122TOTAL Movers ,1091,3542
