"Moving Violations",,
"71st Precinct",,
"   April ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,10
"Bike Lane",0,0
"Bus Lane",3,21
"Cell Phone",69,252
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",225,907
"Driving Too Slow",0,0
Equipment,8,53
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",72,232
"Failure to Signal",19,81
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,2
"Improper Passing",2,3
"Improper Taxi Pickup",0,0
"Improper Turn",51,227
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",4,5
"Not Giving R of W to Veh.",0,4
"Obstructed Plate",6,25
"One Way Street",2,8
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",161,587
"School Bus",9,21
"Scooter In NYC",0,0
"Seat Belt",156,577
Speeding,60,213
Spillback,1,3
"TBTA Rule",0,0
Tints,16,49
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,9,34
Uninsured,20,78
"Unlicensed Operator",52,211
Unregistered,16,58
"Unsafe Lane Change",0,1
"Other Movers",97,377
"071TOTAL Movers ",1059,4039
"* All figures are preliminary and subject to change.",,
