"Moving Violations",,
"108th Precinct",,
"   April ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,1
"Bike Lane",1,3
"Bus Lane",0,0
"Cell Phone",69,244
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",172,855
"Driving Too Slow",0,0
Equipment,8,49
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,2
"Fail to yield Right of Way to Pedestrian",53,346
"Failure to Signal",2,20
"Following Too Closely",0,0
"Improper Passing",3,18
"Improper Taxi Pickup",0,0
"Improper Turn",90,430
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",2,15
"Not Giving R of W to Veh.",1,6
"Obstructed Plate",5,15
"One Way Street",1,10
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",167,599
"School Bus",6,18
"Scooter In NYC",0,0
"Seat Belt",52,271
Speeding,58,303
Spillback,0,0
"TBTA Rule",0,0
Tints,15,86
"TLC (Other)",0,0
"Truck Route",1,13
Uninspected,0,0
Uninsured,12,33
"Unlicensed Operator",44,222
Unregistered,5,15
"Unsafe Lane Change",2,4
"Other Movers",41,307
"108 TOTAL Movers ",810,3885
"* All figures are preliminary and subject to change.",,
