"Moving Violations",,
"122nd Precinct",,
"   April ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,7
"Bike Lane",0,0
"Bus Lane",5,34
"Cell Phone",45,156
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",320,1255
"Driving Too Slow",0,0
Equipment,25,112
"Equipment (Other)",3,5
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",24,110
"Failure to Signal",61,252
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",1,3
"Improper Passing",1,2
"Improper Taxi Pickup",0,0
"Improper Turn",64,269
"Improper/Missing Plates",2,5
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,1
"Not Giving R of W to Veh.",3,11
"Obstructed Plate",35,151
"One Way Street",7,16
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",2,3
"Red Light",56,203
"School Bus",2,14
"Scooter In NYC",0,0
"Seat Belt",106,409
Speeding,152,579
Spillback,0,2
"TBTA Rule",0,0
Tints,14,97
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,5,14
Uninsured,16,79
"Unlicensed Operator",84,307
Unregistered,23,84
"Unsafe Lane Change",10,37
"Other Movers",114,506
"122TOTAL Movers ",1181,4723
"* All figures are preliminary and subject to change.",,
