"Moving Violations",,
"43rd Precinct",,
"     May ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,5
"Bike Lane",0,1
"Bus Lane",0,3
"Cell Phone",96,394
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",297,1217
"Driving Too Slow",0,0
Equipment,56,189
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",1,3
"Fail to yield Right of Way to Pedestrian",82,407
"Failure to Signal",16,77
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",1,2
"Improper Passing",2,12
"Improper Taxi Pickup",0,0
"Improper Turn",101,594
"Improper/Missing Plates",5,14
"Lamps and Other Equipment on Bicycle",5,8
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",1,14
"Obstructed Plate",33,149
"One Way Street",4,16
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,2
"Red Light",75,293
"School Bus",18,45
"Scooter In NYC",0,2
"Seat Belt",159,426
Speeding,72,426
Spillback,0,1
"TBTA Rule",0,0
Tints,15,108
"TLC (Other)",0,0
"Truck Route",1,1
Uninspected,7,19
Uninsured,23,112
"Unlicensed Operator",108,428
Unregistered,56,224
"Unsafe Lane Change",28,189
"Other Movers",83,357
"043TOTAL Movers ",1346,5738
"* All figures are preliminary and subject to change.",,
