46th Precinct,,
     May ,,
"","",""
Backing Unsafely,1,14
Bike Lane,0,0
Bus Lane,1,2
Cell Phone,85,369
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,348,1385
Driving Too Slow,0,0
Equipment,51,273
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,86,329
Failure to Signal,7,85
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,1
Improper Passing,0,6
Improper Taxi Pickup,0,0
Improper Turn,133,621
Improper/Missing Plates,1,3
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,5
Obstructed Plate,9,68
One Way Street,1,13
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,98,560
School Bus,4,8
Scooter In NYC,0,0
Seat Belt,75,250
Speeding,151,601
Spillback,0,2
TBTA Rule,0,0
Tints,112,696
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,3
Uninsured,26,142
Unlicensed Operator,85,431
Unregistered,15,82
Unsafe Lane Change,1,10
Other Movers,172,754
046TOTAL Movers ,1462,6714
