"Moving Violations",,
"102nd Precinct",,
"     May ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,1
"Bike Lane",0,0
"Bus Lane",16,37
"Cell Phone",51,238
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",127,596
"Driving Too Slow",0,0
Equipment,57,272
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",92,276
"Failure to Signal",6,27
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",2,9
"Improper Taxi Pickup",0,0
"Improper Turn",118,393
"Improper/Missing Plates",4,7
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",10,22
"Not Giving R of W to Veh.",3,9
"Obstructed Plate",14,49
"One Way Street",2,8
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",60,311
"School Bus",6,7
"Scooter In NYC",0,0
"Seat Belt",142,569
Speeding,87,358
Spillback,1,2
"TBTA Rule",0,0
Tints,0,21
"TLC (Other)",0,0
"Truck Route",0,6
Uninspected,6,16
Uninsured,22,86
"Unlicensed Operator",75,307
Unregistered,29,79
"Unsafe Lane Change",0,4
"Other Movers",51,332
"102TOTAL Movers ",981,4043
"* All figures are preliminary and subject to change.",,
