"Moving Violations",,
"115th Precinct",,
"     May ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,3
"Bike Lane",1,1
"Bus Lane",0,0
"Cell Phone",97,404
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",226,1043
"Driving Too Slow",0,0
Equipment,34,140
"Equipment (Other)",0,7
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",76,254
"Failure to Signal",9,59
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",1,1
"Improper Passing",9,28
"Improper Taxi Pickup",0,0
"Improper Turn",37,180
"Improper/Missing Plates",4,7
"Lamps and Other Equipment on Bicycle",1,1
"Motorcycle (Other)",2,3
"Not Giving R of W to Veh.",1,6
"Obstructed Plate",3,20
"One Way Street",2,9
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",71,304
"School Bus",6,11
"Scooter In NYC",0,0
"Seat Belt",144,554
Speeding,198,915
Spillback,0,1
"TBTA Rule",0,0
Tints,6,37
"TLC (Other)",0,0
"Truck Route",0,1
Uninspected,1,11
Uninsured,7,31
"Unlicensed Operator",110,507
Unregistered,12,46
"Unsafe Lane Change",0,1
"Other Movers",126,634
"115TOTAL Movers ",1184,5219
"* All figures are preliminary and subject to change.",,
