Queens North,,
     May ,,
"","",""
Backing Unsafely,1,26
Bike Lane,5,25
Bus Lane,35,222
Cell Phone,595,2806
Commercial Veh on Pkwy,0,2
Cruising For Passengers,0,0
Disobey Traffic Control Device,1572,9072
Driving Too Slow,1,1
Equipment,256,1065
Equipment (Other),0,7
Excessive Noise,0,0
Fail to Keep Right,1,3
Fail to yield Right of Way to Pedestrian,689,3834
Failure to Signal,56,328
Failure to yield Right of Way to Vehicle,0,7
Following Too Closely,2,9
Improper Passing,29,105
Improper Taxi Pickup,0,2
Improper Turn,357,1625
Improper/Missing Plates,16,41
Lamps and Other Equipment on Bicycle,3,3
Motorcycle (Other),19,74
Not Giving R of W to Veh.,6,41
Obstructed Plate,70,288
One Way Street,18,118
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,2
Red Light,620,2975
School Bus,55,109
Scooter In NYC,0,0
Seat Belt,1224,4621
Speeding,778,4846
Spillback,4,21
TBTA Rule,0,0
Tints,383,2156
TLC (Other),0,0
Truck Route,21,110
Uninspected,21,98
Uninsured,74,319
Unlicensed Operator,581,2780
Unregistered,90,309
Unsafe Lane Change,6,31
Other Movers,1035,4767
PBQNTOTAL Movers ,8623,42848
