"Moving Violations",,
"Midtown North Precinct",,
"    June ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,3
"Bike Lane",9,56
"Bus Lane",0,23
"Cell Phone",29,258
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",138,1235
"Driving Too Slow",0,0
Equipment,21,141
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",85,224
"Failure to Signal",9,73
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,2
"Improper Passing",1,2
"Improper Taxi Pickup",1,2
"Improper Turn",188,974
"Improper/Missing Plates",5,56
"Lamps and Other Equipment on Bicycle",0,2
"Motorcycle (Other)",5,14
"Not Giving R of W to Veh.",0,2
"Obstructed Plate",0,16
"One Way Street",6,85
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",46,339
"School Bus",0,2
"Scooter In NYC",0,0
"Seat Belt",77,467
Speeding,30,177
Spillback,0,8
"TBTA Rule",0,0
Tints,13,121
"TLC (Other)",0,0
"Truck Route",0,5
Uninspected,1,7
Uninsured,7,85
"Unlicensed Operator",31,207
Unregistered,4,29
"Unsafe Lane Change",3,32
"Other Movers",94,814
"018TOTAL Movers ",803,5462
"* All figures are preliminary and subject to change.",,
