"Moving Violations",,
"42nd Precinct",,
"    June ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,11
"Bike Lane",0,0
"Bus Lane",0,3
"Cell Phone",31,187
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",160,1180
"Driving Too Slow",0,0
Equipment,21,187
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",23,243
"Failure to Signal",29,265
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,2
"Improper Passing",3,5
"Improper Taxi Pickup",0,0
"Improper Turn",72,466
"Improper/Missing Plates",1,15
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",0,0
"Not Giving R of W to Veh.",1,9
"Obstructed Plate",1,28
"One Way Street",2,16
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",57,404
"School Bus",3,39
"Scooter In NYC",0,0
"Seat Belt",43,233
Speeding,43,270
Spillback,1,6
"TBTA Rule",0,0
Tints,28,244
"TLC (Other)",0,0
"Truck Route",1,4
Uninspected,1,8
Uninsured,11,93
"Unlicensed Operator",58,346
Unregistered,15,80
"Unsafe Lane Change",1,4
"Other Movers",45,246
"042TOTAL Movers ",651,4595
"* All figures are preliminary and subject to change.",,
