"Moving Violations",,
"103rd Precinct",,
"    June ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",1,6
"Bike Lane",0,0
"Bus Lane",2,124
"Cell Phone",43,210
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",194,1587
"Driving Too Slow",0,1
Equipment,32,97
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",61,702
"Failure to Signal",10,35
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",1,10
"Improper Taxi Pickup",0,3
"Improper Turn",102,781
"Improper/Missing Plates",2,5
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",1,7
"Not Giving R of W to Veh.",4,8
"Obstructed Plate",7,22
"One Way Street",5,16
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",88,562
"School Bus",3,13
"Scooter In NYC",0,0
"Seat Belt",80,484
Speeding,80,482
Spillback,1,4
"TBTA Rule",0,0
Tints,4,20
"TLC (Other)",0,0
"Truck Route",1,2
Uninspected,3,4
Uninsured,5,50
"Unlicensed Operator",46,296
Unregistered,6,24
"Unsafe Lane Change",0,9
"Other Movers",93,698
"103TOTAL Movers ",875,6262
"* All figures are preliminary and subject to change.",,
