"Moving Violations",,
"5th Precinct",,
"    July ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,10
"Bike Lane",94,133
"Bus Lane",2,103
"Cell Phone",10,93
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",138,1122
"Driving Too Slow",0,0
Equipment,15,162
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",41,307
"Failure to Signal",0,37
"Failure to yield Right of Way to Vehicle",0,1
"Following Too Closely",1,4
"Improper Passing",11,72
"Improper Taxi Pickup",6,9
"Improper Turn",64,388
"Improper/Missing Plates",1,4
"Lamps and Other Equipment on Bicycle",1,2
"Motorcycle (Other)",2,32
"Not Giving R of W to Veh.",1,7
"Obstructed Plate",11,91
"One Way Street",2,17
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,2
"Red Light",72,494
"School Bus",0,2
"Scooter In NYC",0,0
"Seat Belt",35,333
Speeding,41,302
Spillback,4,27
"TBTA Rule",0,0
Tints,1,14
"TLC (Other)",0,0
"Truck Route",0,2
Uninspected,1,8
Uninsured,5,52
"Unlicensed Operator",27,177
Unregistered,7,26
"Unsafe Lane Change",2,19
"Other Movers",65,525
"005TOTAL Movers ",660,4578
"* All figures are preliminary and subject to change.",,
