48th Precinct,,
    July ,,
"","",""
Backing Unsafely,1,5
Bike Lane,1,2
Bus Lane,0,3
Cell Phone,61,414
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,105,788
Driving Too Slow,0,1
Equipment,40,237
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,28,273
Failure to Signal,9,63
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,1,6
Improper Taxi Pickup,0,0
Improper Turn,96,958
Improper/Missing Plates,1,6
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),2,4
Not Giving R of W to Veh.,1,9
Obstructed Plate,4,31
One Way Street,4,16
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,32,367
School Bus,0,16
Scooter In NYC,0,0
Seat Belt,49,290
Speeding,120,941
Spillback,0,2
TBTA Rule,0,0
Tints,8,136
TLC (Other),0,0
Truck Route,0,0
Uninspected,3,18
Uninsured,24,158
Unlicensed Operator,66,463
Unregistered,15,83
Unsafe Lane Change,0,4
Other Movers,68,460
048TOTAL Movers ,739,5755
