81st Precinct,,
    July ,,
"","",""
Backing Unsafely,0,1
Bike Lane,8,9
Bus Lane,0,0
Cell Phone,48,328
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,110,782
Driving Too Slow,0,0
Equipment,78,595
Equipment (Other),0,4
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,12,184
Failure to Signal,5,96
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,2
Improper Passing,0,10
Improper Taxi Pickup,0,0
Improper Turn,4,42
Improper/Missing Plates,0,3
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,0,3
Obstructed Plate,4,19
One Way Street,1,10
Overheight,0,0
Overlength,0,0
Overweight,0,1
Overwidth,0,0
Pavement Markings,0,0
Red Light,35,240
School Bus,0,4
Scooter In NYC,0,0
Seat Belt,111,814
Speeding,14,158
Spillback,0,0
TBTA Rule,0,0
Tints,11,65
TLC (Other),0,0
Truck Route,2,7
Uninspected,3,22
Uninsured,16,174
Unlicensed Operator,48,381
Unregistered,8,56
Unsafe Lane Change,0,2
Other Movers,82,643
081TOTAL Movers ,600,4655
