Citywide,,
    July ,,
"","",""
Backing Unsafely,66,513
Bike Lane,516,884
Bus Lane,240,3548
Cell Phone,3522,24507
Commercial Veh on Pkwy,242,1830
Cruising For Passengers,3,51
Disobey Traffic Control Device,15875,126923
Driving Too Slow,5,37
Equipment,2671,18760
Equipment (Other),9,54
Excessive Noise,0,1
Fail to Keep Right,14,72
Fail to yield Right of Way to Pedestrian,4838,37224
Failure to Signal,1474,11419
Failure to yield Right of Way to Vehicle,11,54
Following Too Closely,69,589
Improper Passing,256,1696
Improper Taxi Pickup,197,1295
Improper Turn,7243,53790
Improper/Missing Plates,113,810
Lamps and Other Equipment on Bicycle,25,81
Motorcycle (Other),191,1434
Not Giving R of W to Veh.,121,939
Obstructed Plate,723,5639
One Way Street,465,3718
Overheight,11,72
Overlength,5,35
Overweight,10,80
Overwidth,0,0
Pavement Markings,34,231
Red Light,6386,43867
School Bus,54,1606
Scooter In NYC,9,45
Seat Belt,6890,44948
Speeding,12247,91259
Spillback,475,5031
TBTA Rule,0,2
Tints,2869,31386
TLC (Other),3,32
Truck Route,112,1027
Uninspected,302,1986
Uninsured,920,7335
Unlicensed Operator,4293,31495
Unregistered,1097,6955
Unsafe Lane Change,382,2840
Other Movers,8742,57767
CitywideTOTAL Movers ,83730,623867
