"Moving Violations",,
"69th Precinct",,
"  August ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,1
"Bike Lane",0,0
"Bus Lane",0,10
"Cell Phone",41,339
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",95,1265
"Driving Too Slow",0,0
Equipment,7,83
"Equipment (Other)",0,1
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",16,165
"Failure to Signal",23,123
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",4,16
"Improper Taxi Pickup",0,0
"Improper Turn",25,414
"Improper/Missing Plates",0,5
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",2,6
"Not Giving R of W to Veh.",0,3
"Obstructed Plate",0,42
"One Way Street",1,8
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",11,209
"School Bus",0,7
"Scooter In NYC",0,0
"Seat Belt",74,745
Speeding,103,519
Spillback,0,0
"TBTA Rule",0,0
Tints,87,667
"TLC (Other)",0,0
"Truck Route",0,5
Uninspected,1,25
Uninsured,4,73
"Unlicensed Operator",37,321
Unregistered,13,97
"Unsafe Lane Change",0,8
"Other Movers",51,663
"069TOTAL Movers ",595,5822
"* All figures are preliminary and subject to change.",,
