Transportation Bureau,,
  August ,,
"","",""
Backing Unsafely,6,102
Bike Lane,8,56
Bus Lane,146,1649
Cell Phone,343,2321
Commercial Veh on Pkwy,243,1920
Cruising For Passengers,2,44
Disobey Traffic Control Device,3069,27697
Driving Too Slow,2,25
Equipment,509,6453
Equipment (Other),2,13
Excessive Noise,0,0
Fail to Keep Right,1,14
Fail to yield Right of Way to Pedestrian,514,3460
Failure to Signal,298,2865
Failure to yield Right of Way to Vehicle,0,8
Following Too Closely,55,481
Improper Passing,36,444
Improper Taxi Pickup,142,1293
Improper Turn,1513,11243
Improper/Missing Plates,34,222
Lamps and Other Equipment on Bicycle,2,4
Motorcycle (Other),94,760
Not Giving R of W to Veh.,17,283
Obstructed Plate,146,1468
One Way Street,80,1476
Overheight,12,82
Overlength,7,39
Overweight,9,88
Overwidth,0,0
Pavement Markings,13,124
Red Light,384,2551
School Bus,1,342
Scooter In NYC,0,0
Seat Belt,1274,7115
Speeding,6353,55728
Spillback,241,4948
TBTA Rule,0,0
Tints,480,11156
TLC (Other),0,0
Truck Route,29,318
Uninspected,80,806
Uninsured,140,1276
Unlicensed Operator,680,5718
Unregistered,202,1679
Unsafe Lane Change,174,1577
Other Movers,1900,13195
TCDTOTAL Movers ,19241,171043
