Queens South,,
  August ,,
"","",""
Backing Unsafely,4,40
Bike Lane,14,55
Bus Lane,29,230
Cell Phone,343,2563
Commercial Veh on Pkwy,1,28
Cruising For Passengers,1,6
Disobey Traffic Control Device,1092,11823
Driving Too Slow,0,3
Equipment,244,1869
Equipment (Other),0,4
Excessive Noise,0,0
Fail to Keep Right,0,6
Fail to yield Right of Way to Pedestrian,322,2631
Failure to Signal,130,1388
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,2,14
Improper Passing,21,201
Improper Taxi Pickup,1,8
Improper Turn,516,4484
Improper/Missing Plates,12,80
Lamps and Other Equipment on Bicycle,1,3
Motorcycle (Other),14,71
Not Giving R of W to Veh.,6,89
Obstructed Plate,35,358
One Way Street,16,115
Overheight,0,1
Overlength,0,1
Overweight,0,0
Overwidth,0,0
Pavement Markings,4,28
Red Light,406,3597
School Bus,0,100
Scooter In NYC,0,0
Seat Belt,456,3409
Speeding,624,5652
Spillback,0,38
TBTA Rule,0,1
Tints,109,1030
TLC (Other),0,0
Truck Route,4,53
Uninspected,36,230
Uninsured,99,1014
Unlicensed Operator,443,3617
Unregistered,118,792
Unsafe Lane Change,6,74
Other Movers,877,6028
PBQSTOTAL Movers ,5986,51734
