20th Precinct,,
"","",""
Backing Unsafely,0,2
Bike Lane,0,4
Bus Lane,0,9
Cell Phone,92,433
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,158,1878
Driving Too Slow,0,0
Equipment,9,90
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,88,291
Failure to Signal,1,16
Failure to yield Right of Way to Vehicle,0,1
Following Too Closely,0,0
Improper Passing,0,4
Improper Taxi Pickup,0,3
Improper Turn,47,1021
Improper/Missing Plates,0,6
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,1
Obstructed Plate,1,15
One Way Street,1,62
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,61,739
School Bus,16,34
Scooter In NYC,0,0
Seat Belt,4,311
Speeding,50,743
Spillback,0,2
TBTA Rule,0,0
Tints,0,1
TLC (Other),1,35
Truck Route,0,16
Uninspected,0,8
Uninsured,0,20
Unlicensed Operator,18,186
Unregistered,1,16
Unsafe Lane Change,2,15
Other Movers,130,630
020TOTAL Movers ,680,6593
