"Moving Violations",,
"Central Park Precinct",,
September,,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,1
"Bike Lane",0,0
"Bus Lane",8,155
"Cell Phone",0,5
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",1,74
"Driving Too Slow",0,0
Equipment,0,56
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",59,108
"Failure to Signal",0,5
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,0
"Improper Passing",0,1
"Improper Taxi Pickup",0,0
"Improper Turn",18,346
"Improper/Missing Plates",0,0
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",0,2
"Not Giving R of W to Veh.",0,1
"Obstructed Plate",0,2
"One Way Street",0,3
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",14,124
"School Bus",18,28
"Scooter In NYC",0,0
"Seat Belt",1,39
Speeding,13,163
Spillback,0,0
"TBTA Rule",0,0
Tints,0,82
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,5
Uninsured,0,13
"Unlicensed Operator",3,41
Unregistered,0,11
"Unsafe Lane Change",0,3
"Other Movers",10,36
"022TOTAL Movers ",145,1304
"* All figures are preliminary and subject to change.",,
