41st Precinct,,
"","",""
Backing Unsafely,1,10
Bike Lane,0,10
Bus Lane,13,156
Cell Phone,34,220
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,261,2919
Driving Too Slow,0,0
Equipment,21,279
Equipment (Other),0,0
Excessive Noise,0,1
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,147,669
Failure to Signal,4,49
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,2
Improper Passing,2,7
Improper Taxi Pickup,0,0
Improper Turn,128,923
Improper/Missing Plates,3,21
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,1
Not Giving R of W to Veh.,0,7
Obstructed Plate,4,49
One Way Street,0,19
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,6
Red Light,82,668
School Bus,10,50
Scooter In NYC,0,0
Seat Belt,43,565
Speeding,116,1190
Spillback,2,22
TBTA Rule,0,0
Tints,30,265
TLC (Other),0,0
Truck Route,1,89
Uninspected,0,9
Uninsured,14,188
Unlicensed Operator,36,520
Unregistered,11,130
Unsafe Lane Change,2,19
Other Movers,55,412
041TOTAL Movers ,1020,9476
