63rd Precinct,,
"","",""
Backing Unsafely,0,0
Bike Lane,0,0
Bus Lane,2,47
Cell Phone,27,378
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,102,1083
Driving Too Slow,0,0
Equipment,1,124
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,132,483
Failure to Signal,8,47
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,4
Improper Passing,0,10
Improper Taxi Pickup,0,0
Improper Turn,12,106
Improper/Missing Plates,1,8
Lamps and Other Equipment on Bicycle,0,3
Motorcycle (Other),0,2
Not Giving R of W to Veh.,0,3
Obstructed Plate,1,25
One Way Street,1,14
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,1
Red Light,37,419
School Bus,2,3
Scooter In NYC,0,0
Seat Belt,24,227
Speeding,30,617
Spillback,0,1
TBTA Rule,0,0
Tints,2,40
TLC (Other),0,0
Truck Route,0,0
Uninspected,0,7
Uninsured,6,55
Unlicensed Operator,28,270
Unregistered,5,63
Unsafe Lane Change,3,14
Other Movers,80,869
063TOTAL Movers ,504,4925
