"Moving Violations",,
"94th Precinct",,
September,,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",0,2
"Bike Lane",1,11
"Bus Lane",0,1
"Cell Phone",28,336
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",65,938
"Driving Too Slow",0,0
Equipment,40,210
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",60,120
"Failure to Signal",3,46
"Failure to yield Right of Way to Vehicle",0,0
"Following Too Closely",0,1
"Improper Passing",0,12
"Improper Taxi Pickup",0,0
"Improper Turn",39,245
"Improper/Missing Plates",2,6
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",1,6
"Not Giving R of W to Veh.",1,7
"Obstructed Plate",2,32
"One Way Street",5,32
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,1
"Red Light",84,455
"School Bus",4,4
"Scooter In NYC",0,0
"Seat Belt",81,424
Speeding,63,616
Spillback,0,3
"TBTA Rule",0,0
Tints,12,260
"TLC (Other)",0,0
"Truck Route",9,137
Uninspected,0,21
Uninsured,3,31
"Unlicensed Operator",16,178
Unregistered,3,51
"Unsafe Lane Change",0,4
"Other Movers",34,489
"094TOTAL Movers ",556,4679
"* All figures are preliminary and subject to change.",,
