"Moving Violations",,
Bronx,,
September,,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",10,134
"Bike Lane",11,128
"Bus Lane",16,329
"Cell Phone",366,4895
"Commercial Veh on Pkwy",0,21
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",1563,21665
"Driving Too Slow",0,1
Equipment,260,3635
"Equipment (Other)",1,3
"Excessive Noise",0,1
"Fail to Keep Right",1,16
"Fail to yield Right of Way to Pedestrian",1863,6739
"Failure to Signal",146,1674
"Failure to yield Right of Way to Vehicle",2,2
"Following Too Closely",11,60
"Improper Passing",14,181
"Improper Taxi Pickup",1,4
"Improper Turn",774,9610
"Improper/Missing Plates",29,229
"Lamps and Other Equipment on Bicycle",1,16
"Motorcycle (Other)",7,136
"Not Giving R of W to Veh.",13,160
"Obstructed Plate",86,1311
"One Way Street",23,448
Overheight,0,0
Overlength,1,3
Overweight,0,0
Overwidth,0,0
"Pavement Markings",2,36
"Red Light",509,5856
"School Bus",49,409
"Scooter In NYC",3,22
"Seat Belt",520,6329
Speeding,1191,10567
Spillback,4,76
"TBTA Rule",0,0
Tints,287,5300
"TLC (Other)",0,0
"Truck Route",1,106
Uninspected,45,338
Uninsured,156,2074
"Unlicensed Operator",625,6858
Unregistered,214,2076
"Unsafe Lane Change",42,542
"Other Movers",721,7298
"PBBXTOTAL Movers ",9568,99288
"* All figures are preliminary and subject to change.",,
