Queens North,,
"","",""
Backing Unsafely,0,34
Bike Lane,26,155
Bus Lane,24,361
Cell Phone,400,4674
Commercial Veh on Pkwy,2,5
Cruising For Passengers,0,0
Disobey Traffic Control Device,891,13540
Driving Too Slow,0,2
Equipment,310,2341
Equipment (Other),0,17
Excessive Noise,0,0
Fail to Keep Right,2,9
Fail to yield Right of Way to Pedestrian,1752,7950
Failure to Signal,45,558
Failure to yield Right of Way to Vehicle,1,13
Following Too Closely,1,13
Improper Passing,31,228
Improper Taxi Pickup,0,2
Improper Turn,226,2582
Improper/Missing Plates,8,77
Lamps and Other Equipment on Bicycle,1,11
Motorcycle (Other),19,150
Not Giving R of W to Veh.,2,74
Obstructed Plate,78,548
One Way Street,20,208
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,1,3
Red Light,490,5189
School Bus,8,133
Scooter In NYC,0,0
Seat Belt,677,9379
Speeding,1227,8573
Spillback,0,27
TBTA Rule,0,0
Tints,198,3130
TLC (Other),0,0
Truck Route,10,154
Uninspected,37,209
Uninsured,65,596
Unlicensed Operator,478,4843
Unregistered,76,605
Unsafe Lane Change,6,78
Other Movers,659,8116
PBQNTOTAL Movers ,7771,74587
