Staten Island,,
Backing Unsafely,1,23
Brake Lights (Defect.or  Improper),274,2246
"Bus Lane, Driving in",0,1
Cell Phone,298,5954
Commercial Veh on Pkwy,2,29
Defective Brakes,7,10
Disobey Sign,83,2000
Equipment (Other),39,572
Fail to Keep Right,3,40
Fail to Signal,39,483
Fail to Stop on Signal,88,1217
Following Too Closely,1,49
Headlights (Defect. or Improper),166,1352
Improper Lights,5,37
Improper Passing,19,158
Improper Turn,25,379
Improper/Missing Plates,29,294
Not Giving R of W to Pedes.,2,65
Not Giving R of W to Veh.,6,101
One Way Street,4,81
Pavement Markings,107,939
Safety Belt,365,4727
"School Bus, Passing Stopped",6,101
Speeding,225,3108
Spillback,2,39
Tinted Windows,325,4153
Truck Routes,0,40
U-Turn,15,154
Uninspected,37,483
Uninsured,235,3520
Unlicensed Operator,171,2619
Unregistered,45,580
Unsafe Lane Change,4,81
Other Movers,189,1706
TOTAL Movers,2817,37341
