Housing Bureau,,
Backing Unsafely,0,2
Brake Lights (Defect.or  Improper),0,13
"Bus Lane, Driving in",0,0
Cell Phone,1,10
Commercial Veh on Pkwy,0,0
Defective Brakes,0,8
Disobey Sign,2,20
Equipment (Other),0,3
Fail to Keep Right,0,0
Fail to Signal,1,6
Fail to Stop on Signal,1,19
Following Too Closely,0,0
Headlights (Defect. or Improper),0,24
Improper Lights,0,0
Improper Passing,1,2
Improper Turn,1,3
Improper/Missing Plates,3,11
Not Giving R of W to Pedes.,0,0
Not Giving R of W to Veh.,0,0
One Way Street,0,5
Pavement Markings,0,4
Safety Belt,0,4
"School Bus, Passing Stopped",0,7
Speeding,0,0
Spillback,0,1
Tinted Windows,0,0
Truck Routes,0,0
U-Turn,1,3
Uninspected,1,5
Uninsured,2,17
Unlicensed Operator,3,30
Unregistered,0,6
Unsafe Lane Change,0,2
Other Movers,0,16
TOTAL Movers,17,221
