Queens North,,
Backing Unsafely,7,97
Brake Lights (Defect.or  Improper),16,607
"Bus Lane, Driving in",0,0
Cell Phone,1434,21766
Commercial Veh on Pkwy,0,15
Defective Brakes,0,3
Disobey Sign,1366,14977
Equipment (Other),16,347
Fail to Keep Right,4,24
Fail to Signal,47,779
Fail to Stop on Signal,347,4203
Following Too Closely,1,40
Headlights (Defect. or Improper),7,453
Improper Lights,78,757
Improper Passing,10,187
Improper Turn,220,2413
Improper/Missing Plates,14,223
Not Giving R of W to Pedes.,119,1943
Not Giving R of W to Veh.,13,163
One Way Street,36,659
Pavement Markings,91,1274
Safety Belt,1406,24548
"School Bus, Passing Stopped",6,315
Speeding,624,5854
Spillback,2,76
Tinted Windows,769,7747
Truck Routes,102,1661
U-Turn,16,241
Uninspected,86,760
Uninsured,668,7643
Unlicensed Operator,872,10655
Unregistered,74,858
Unsafe Lane Change,9,145
Other Movers,344,5202
TOTAL Movers,8804,116635
