Manhattan North,,
Backing Unsafely,9,22
Brake Lights (Defect.or  Improper),448,915
"Bus Lane, Driving in",3,3
Cell Phone,1656,3521
Commercial Veh on Pkwy,1,2
Defective Brakes,6,20
Disobey Sign,971,2195
Equipment (Other),47,109
Fail to Keep Right,2,2
Fail to Signal,160,304
Fail to Stop on Signal,298,662
Following Too Closely,1,3
Headlights (Defect. or Improper),484,894
Improper Lights,1,2
Improper Passing,5,11
Improper Turn,777,1282
Improper/Missing Plates,17,30
Not Giving R of W to Pedes.,217,496
Not Giving R of W to Veh.,18,24
One Way Street,61,117
Pavement Markings,236,477
Safety Belt,1230,2223
"School Bus, Passing Stopped",14,27
Speeding,268,394
Spillback,89,98
Tinted Windows,270,704
Truck Routes,112,234
U-Turn,112,233
Uninspected,63,169
Uninsured,385,758
Unlicensed Operator,244,532
Unregistered,59,141
Unsafe Lane Change,33,66
Other Movers,307,567
TOTAL Movers,8604,17237
