104th Precinct,,
Backing Unsafely,1,6
Brake Lights (Defect.or  Improper),8,24
"Bus Lane, Driving in",0,0
Cell Phone,96,993
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,65,636
Equipment (Other),4,15
Fail to Keep Right,0,0
Fail to Signal,17,56
Fail to Stop on Signal,41,308
Following Too Closely,0,2
Headlights (Defect. or Improper),1,12
Improper Lights,0,1
Improper Passing,0,17
Improper Turn,3,48
Improper/Missing Plates,14,52
Not Giving R of W to Pedes.,23,173
Not Giving R of W to Veh.,1,4
One Way Street,1,8
Pavement Markings,5,70
Safety Belt,128,1605
"School Bus, Passing Stopped",1,20
Speeding,16,130
Spillback,0,13
Tinted Windows,118,974
Truck Routes,37,385
U-Turn,3,6
Uninspected,4,25
Uninsured,67,504
Unlicensed Operator,79,820
Unregistered,22,92
Unsafe Lane Change,1,4
Other Movers,156,1281
TOTAL Movers,912,8284
