Queens South,,
Backing Unsafely,14,106
Brake Lights (Defect.or  Improper),325,3166
"Bus Lane, Driving in",0,0
Cell Phone,671,8492
Commercial Veh on Pkwy,0,4
Defective Brakes,1,12
Disobey Sign,1086,10292
Equipment (Other),214,1489
Fail to Keep Right,1,12
Fail to Signal,43,543
Fail to Stop on Signal,276,2636
Following Too Closely,6,38
Headlights (Defect. or Improper),207,1542
Improper Lights,18,567
Improper Passing,31,300
Improper Turn,573,6278
Improper/Missing Plates,31,186
Not Giving R of W to Pedes.,118,788
Not Giving R of W to Veh.,25,239
One Way Street,6,102
Pavement Markings,162,1892
Safety Belt,946,12333
"School Bus, Passing Stopped",3,49
Speeding,250,1422
Spillback,1,62
Tinted Windows,1087,13028
Truck Routes,71,518
U-Turn,48,436
Uninspected,69,812
Uninsured,681,6547
Unlicensed Operator,702,6507
Unregistered,77,859
Unsafe Lane Change,14,120
Other Movers,355,3332
TOTAL Movers,8112,84709
