Brooklyn North,,
Backing Unsafely,29,320
Brake Lights (Defect.or  Improper),505,4768
"Bus Lane, Driving in",0,0
Cell Phone,996,15466
Commercial Veh on Pkwy,0,5
Defective Brakes,22,51
Disobey Sign,1292,14355
Equipment (Other),12,421
Fail to Keep Right,6,31
Fail to Signal,220,2792
Fail to Stop on Signal,407,5291
Following Too Closely,3,65
Headlights (Defect. or Improper),594,6804
Improper Lights,7,899
Improper Passing,38,811
Improper Turn,539,4824
Improper/Missing Plates,35,442
Not Giving R of W to Pedes.,134,609
Not Giving R of W to Veh.,40,274
One Way Street,68,937
Pavement Markings,345,3119
Safety Belt,767,13224
"School Bus, Passing Stopped",18,144
Speeding,293,2834
Spillback,18,279
Tinted Windows,790,10777
Truck Routes,33,579
U-Turn,29,260
Uninspected,56,893
Uninsured,784,8627
Unlicensed Operator,657,7897
Unregistered,186,2127
Unsafe Lane Change,13,133
Other Movers,656,7330
TOTAL Movers,9592,117388
