Citywide,,
Backing Unsafely,175,1569
Brake Lights (Defect.or  Improper),2247,27060
"Bus Lane, Driving in",148,5472
Cell Phone,6899,126422
Commercial Veh on Pkwy,138,1063
Defective Brakes,27,383
Disobey Sign,9737,137250
Equipment (Other),591,11269
Fail to Keep Right,19,301
Fail to Signal,1602,18588
Fail to Stop on Signal,3156,41055
Following Too Closely,70,1119
Headlights (Defect. or Improper),3324,26527
Improper Lights,320,3904
Improper Passing,282,4806
Improper Turn,5237,62356
Improper/Missing Plates,301,2958
Not Giving R of W to Pedes.,1369,14888
Not Giving R of W to Veh.,206,2335
One Way Street,245,4985
Pavement Markings,2425,25271
Safety Belt,6165,119627
"School Bus, Passing Stopped",66,1371
Speeding,5902,83202
Spillback,285,4759
Tinted Windows,5465,88229
Truck Routes,417,6396
U-Turn,516,4921
Uninspected,426,6846
Uninsured,4268,56427
Unlicensed Operator,4349,59510
Unregistered,1005,12422
Unsafe Lane Change,352,4563
Other Movers,3651,69088
TOTAL Movers,71385,1036942
