Housing Bureau,,
Backing Unsafely,1,3
Brake Lights (Defect.or Improper),0,3
"Bus Lane, Driving in",0,0
Cell Phone,1,2
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,2,5
Disobey Traffic Control Device,10,14
Equipment (Other),1,2
Fail to Keep Right,0,0
Fail to Signal,2,4
Following Too Closely,0,0
Headlights (Defect. or Improper),1,4
Improper Lights,0,2
Improper Passing,1,1
Improper Turn,0,0
Improper/Missing Plates,1,2
Not Giving R of W to Pedes.,0,0
Not Giving R of W to Veh.,0,0
One Way Street,0,0
Pavement Markings,0,0
Safety Belt,0,0
"School Bus, Passing Stopped",0,0
Speeding,0,0
Spillback,0,0
Tinted Windows,2,2
Truck Routes,0,0
U-Turn,1,1
Uninspected,0,0
Uninsured,0,0
Unlicensed Operator,4,5
Unregistered,1,1
Unsafe Lane Change,0,0
Other Movers,4,6
TOTAL Movers,32,57
