Citywide,,
Backing Unsafely,103,897
Brake Lights (Defect.or Improper),924,8146
"Bus Lane, Driving in",95,1706
Cell Phone,6432,51455
Commercial Veh on Pkwy,141,1214
Defective Brakes,25,79
Disobey Steady Red Signal,4970,39151
Disobey Traffic Control Device,16289,129694
Equipment (Other),1296,10403
Fail to Keep Right,8,172
Fail to Signal,1980,16076
Following Too Closely,65,670
Headlights (Defect. or Improper),672,7341
Improper Lights,116,1132
Improper Passing,311,2774
Improper Turn,6755,55044
Improper/Missing Plates,324,4498
Not Giving R of W to Pedes.,2878,27089
Not Giving R of W to Veh.,318,2748
OBSTRUCTED PLATE,278,917
One Way Street,348,2629
Pavement Markings,1205,9454
Safety Belt,7814,56543
"School Bus, Passing Stopped",29,2338
Speeding,8655,84736
Spillback,213,1688
Tinted Windows,5391,53932
Truck Routes,288,2369
U-Turn,288,2450
Uninspected,318,2856
Uninsured,2242,19442
Unlicensed Operator,4841,37660
Unregistered,960,7902
Unsafe Lane Change,434,4025
Other Movers,6336,52053
TOTAL Movers,83342,701283
