Brooklyn South,,
Backing Unsafely,16,198
Brake Lights (Defect.or Improper),48,559
"Bus Lane, Driving in",6,109
Cell Phone,957,13549
Commercial Veh on Pkwy,7,125
Defective Brakes,2,8
Disobey Steady Red Signal,681,8593
Disobey Traffic Control Device,2047,25131
Equipment (Other),47,564
Fail to Keep Right,0,17
Fail to Signal,226,3223
Following Too Closely,2,50
Headlights (Defect. or Improper),45,816
Improper Lights,7,43
Improper Passing,59,630
Improper Turn,570,7243
Improper/Missing Plates,71,1017
Not Giving R of W to Pedes.,733,8003
Not Giving R of W to Veh.,52,765
OBSTRUCTED PLATE,180,543
One Way Street,30,348
Pavement Markings,169,2020
Safety Belt,959,15251
"School Bus, Passing Stopped",19,490
Speeding,398,7922
Spillback,15,156
Tinted Windows,1237,18358
Truck Routes,30,511
U-Turn,46,654
Uninspected,24,419
Uninsured,343,4154
Unlicensed Operator,636,8162
Unregistered,110,1646
Unsafe Lane Change,20,480
Other Movers,716,8940
TOTAL Movers,10508,140697
