41st Precinct,,
Backing Unsafely,1,4
Bike Lane,0,3
Bus Lane,12,146
Cell Phone,36,281
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,385,3355
Driving Too Slow,0,0
Equipment,47,461
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,93,650
Failure to Signal,3,75
Following Too Closely,0,0
Improper Passing,0,4
Improper Taxi Pickup,0,0
Improper Turn,106,1039
Improper/Missing Plates,1,29
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,5
Not Giving R of W to Veh.,1,11
Obstructed Plate,9,100
One Way Street,0,19
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,12
Red Light,79,791
School Bus,15,99
Scooter In NYC,0,0
Seat Belt,51,687
Speeding,134,1491
Spillback,1,85
TBTA Rule,0,0
Tints,29,447
TLC (Other),0,0
Truck Route,16,155
Uninspected,0,33
Uninsured,32,334
Unlicensed Operator,70,639
Unregistered,9,175
Unsafe Lane Change,0,8
Other Movers,56,476
TOTAL Movers,1188,11614
